SYMBOL,DESCRIPTION,cik
INDO,INDONESIA ENERGY CORP LTD USD ,CIK0001757840
IFBD,INFOBIRD CO LTD,CIK0001815566
IFIN,INFINT ACQUISITION CORP ORD SH,CIK0001862935
ILAG,INTELLIGENT LIVING APPLICATION,CIK0001814963
IGT,INTERNATIONAL GAME TECHNOLOGY ,CIK0001619762
IXAQU,IX ACQUISITION CORP UNIT 1 CL ,CIK0001852019
JUGGW,JAWS JUGGERNAUT ACQUISITION CO,CIK0001842609
JWSM,JAWS MUSTANG ACQUISITION CORP ,CIK0001831359
FRGT,FREIGHT TECHNOLOGIES INC SHS N,CIK0001687542
JWEL,JOWELL GLOBAL LTD USD ORD SHS ,CIK0001805594
KXIN,KAIXIN AUTO HLDGS SHS (CYM),CIK0001713539
KAL,KALERA PUB LTD CO SHS NEW (IRL,CIK0001909152
KRNLW,KERNEL GROUP HLDGS INC WT EXP ,CIK0001832950
KNSA,KINIKSA PHARMACEUTICALS LTD,CIK0001730430
EZGO,EZGO TECHNOLOGIES LTD USD ORD ,CIK0001806904
LCAA,L CATTERTON ASIA ACQUISITION C,CIK0001841024
LBBBR,LAKESHORE ACQUISITION II CORP.,CIK0001867287
LANV,LANVIN GROUP HLDGS LTD SHS (CY,CIK0001922097
LICN,LICHEN CHINA LTD USD CL A ORD ,CIK0001876766
LBTYK,LIBERTY GLOBAL PLC SHS CL C (U,CIK0001570585
LIN,LINDE PLC NEW SHS (IRL),CIK0001707925
MHLD,MAIDEN HOLDINGS LTD COM STK (B,CIK0001412100
LYT,LYTUS TECHNOLOGIES HLDGS PTV L,CIK0001816319
MLACW,MALACCA STRAITS ACQUISITION CO,CIK0001807594
MLAC,MALACCA STRAITS ACQUISITION CO,CIK0001807594
MARX,MARS ACQUISITION CORP SHS (CYM,CIK0001892922
MGTX,MEIRAGTX HLDGS PLC (CYM),CIK0001735438
MACAW,MORINGA ACQ CORP USD WTS TO PU,CIK0001835416
MTC,MMTEC INC SHS NEW US$0.01(VGB),CIK0001742518
NBR,NABORS INDS LTD (NEW) BERMUDA ,CIK0001163739
NEGG,NEWEGG COMM INC USD COM SHS (V,CIK0001474627
JOBY,JOBY AVIATION INC (CYM),CIK0001819848
GDEV,NEXTERS INC ORD SHS (VGB),CIK0001848739
NE,NOBLE CORP PLC USD0.00001 A AL,CIK0001458891
MBTCR,NOCTURNE ACQUISITION CORP USD ,CIK0001837344
NCLH,NORWEGIAN CRUISE LINE HLDGS LT,CIK0001513761
NVCR,NOVOCURE LTD ORD SHS (JEY),CIK0001645113
NU,NU HLDGS LTD,CIK0001691493
NVT,NVENT ELEC PLC SHS (IRL),CIK0001720635
ORIAW,ORION BIOTECH OPPORTUNITIES CO,CIK0001847416
OST,OSTIN TECHNOLOGY GROUP CO LTD ,CIK0001803407
PAGS,PAGSEGURO DIGITAL LTD,CIK0001712807
PANL,PANGEA LOGISTICS SOLUTIONS LTD,CIK0001606909
PROK,PROKIDNEY CORP ORD SHS CL A(CY,CIK0001850270
PEPLW,PEPPERLIME HEALTH ACQ.CORP WT ,CIK0001873324
PERF,PERFECT CORP CL A ORD SHS (CYM,CIK0001899830
PCCTW,PERCEPTION CAP CORP II RED WT ,CIK0001844149
PRTG,PORTAGE BIOTECH INC,CIK0001095435
PBTS,POWERBRIDGE TECHNOLOGIES CO LT,CIK0001754323
PRE,PRENETICS GLOBAL LTD CL A ORD ,CIK0001876431
PRSRU,PROSPECTOR CAP CORP UNIT 1 CL ,CIK0001825473
RCON,"RECON TECHNOLOGY, LTD. CLASS A",CIK0001442620
RNW,RENEW ENERGY GLOBAL PLC SHS CL,CIK0001848763
ROIV,ROIVANT SCIENCES LTD SHS (BMU),CIK0001635088
RPRX,ROYALTY PHARMA PLC SHS CL A (G,CIK0001802768
SATL,SATELLOGIC INC. USD CL A ORD S,CIK0001874315
STX,SEAGATE TECH HLDS PLC ORDINARY,CIK0001137789
TIOAU,TIO TECH A UNIT 1 CL A & 1/3 R,CIK0001846163
ST,SENSATA TECHNOLOGIES HLDG PLC ,CIK0001477294
SVNAW,7 ACQUISITION CORP WT EXP (CYM,CIK0001850699
SHUAW,SHUAA PARTNERS ACQUISITION COR,CIK0001886268
SLVR,SILVERSPAC INC CL A (CYM),CIK0001842644
SLAM,SLAM CORP CL A (CYM),CIK0001838162
SKYAW,SKYDECK ACQUISITION CORP WT EX,CIK0001847152
SGH,SMART GLOBAL HLDGS INC SHS,CIK0001616533
STBX,STARBOX GROUP HLDGS LTD.SHS NE,CIK0001914818
STE,STERIS PLC ORD SHS(IRL),CIK0001757898
APAC,STONEBRIDGE ACQUISITION CORP C,CIK0001844981
STNE,STONECO LTD CL A (CYM),CIK0001745431
SGHC,SUPER GROUP SGHC LTD COM,CIK0001878057
SWVL,SWVL HLDGS CORP,CIK0001875609
TOAC,TALON 1 ACQUISITION CORP CL A ,CIK0001860482
TAOP,"TAPPING INC, BVI ORDINARY SHAR",CIK0001552670
FTI,TECHNIPFMC PLC COM (GBR),CIK0001681459
TBPH,THERAVANCE BIOPHARMA INC ORD S,CIK0001583107
TRMD,TORM PLC SHS CL A,CIK0001655891
TT,TRANE TECHNOLOGIES PLC SHS (IR,CIK0001466258
TRAQ,TRINE II ACQUISITION CORP CL A,CIK0001841230
TROO,"TROOPS, INC. ORDINARY SHARES",CIK0001412095
TNP,TSAKOS ENERGY NAVIGATION LTD,CIK0001166663
TWOA,TWO CL A SHS (CYM),CIK0001843988
VHNAU,VAHANNA TECH EDGE ACQUISITION ,CIK0001868640
VNTR,VENATOR MATLS PLC SHS (GBR),CIK0001705682
VTRU,VITRU LTD COM (CYM),CIK0001805012
GLNG,GOLAR LNG LTD (BERMUDA),CIK0001207179
EVTL,VERTICAL AEROSPACE LTD SHS,CIK0001867102
UTAA,UTA ACQUISITION CORP CL A ORD ,CIK0001879221
UTAAW,UTA ACQUISITION CORP WT EXP 10,CIK0001879221
VRAX,VIRAX BIOLABS GROUP LTD SHS (C,CIK0001885827
WALD,WALDENCAST PLC,CIK0001840199
WALDW,WALDENCAST PLC WT EXP 07/27/27,CIK0001840199
WEJO,WEJO GROUP LTD COM (BMU),CIK0001864448
WEJOW,WEJO GROUP LTD WT EXP (BMU),CIK0001864448
XP,XP INC CL A (CYM),CIK0001787425
XPAXW,XPAC ACQUISITION CORP WT EXP (,CIK0001853397
YTRA,YATRA ONLINE INC ORD SHS (CYM),CIK0001516899
YGF,YANGUFANG INTL GROUP CO. LTD. ,CIK0001875496
ZENV,ZENVIA INC COM CL A (CYM),CIK0001836934
TOP,TOP FINL GROUP LTD USD ORD SHS,CIK0001848275
ACIU,AC IMMUNE SA SHS (CHE),CIK0001651625
ADCT,ADC THERAPEUTICS SA SHS,CIK0001771910
ALC,ALCON INC. ORDINARY SHARES (CH,CIK0001167379
CRSP,CRISPR THERAPEUTICS AG NAMEN A,CIK0001674416
UBS,UBS GROUP AG ORD SHS (CHE),CIK0001610520
LOGI,LOGITECH INTERNATIONAL S.A .OR,CIK0001032975
ONON,ON HLDG AG NAMEN AKT A (CHE),CIK0001858985
ASPS,ALTISOURCE PORTFOLIO SOLUTIONS,CIK0001462418
ALVO,ALVOTECH S A ORD SHS (LUX),CIK0001898416
ARVL,ARRIVAL GROUP COM (LUX),CIK0001835059
FREY,FREYR BATTERY SHS (LUX),CIK0001844224
TIGO,MILLICOM INTL CELLULAR SA REG ,CIK0000912958
NGMS,NEOGAMES S A SHS USD (LUX),CIK0001821349
NEXA,NEXA RES S A COM (LUX),CIK0001713930
PRM,PERIMETER SOLUTIONS SA SHS (LU,CIK0001880319
DRTS,ALPHA TAU MED LTD ORD SHS (ISR,CIK0001871321
ALLT,ALLOT LTD ORD SHS,CIK0001365767
BNRG,BRENMILLER ENERGY LTD SHARE (I,CIK0001901215
CSTE,CAESARSTONE LTD ORD SHS (ISR) ,CIK0001504379
CELJF,CELLCOM ISRAEL LTD ORD SHS (IS,CIK0001385145
CLBTW,CELLEBRITE DI LTD WT EXP (ISR),CIK0001854587
CGNT,COGNYTE SOFTWARE LTD ORD SHS,CIK0001824814
CGEN,COMPUGEN LTD,CIK0001119774
CYBR,CYBERARK SOFTWARE LTD. ORDINAR,CIK0001598110
ESLT,ELBIT SYSTEMS LTD,CIK0001027664
ENTXW,"EVERQUOTE, INC. WARRANT (ISR) ",CIK0001638097
EVGN,EVOGENE LTD ORD SHRS ORD SHARE,CIK0001574565
FRO,FRONTLINE PLC COM (CYP),CIK0000913290
GMDA,GAMIDA CELL LTD (ISR),CIK0001600847
INVZ,INNOVIZ TECHNOLOGIES LTD SHS (,CIK0001835654
GILT,GILAT SATELLITE NETWORKS LTD N,CIK0000897322
WILC,G.WILLI-FOOD INTL INC,CIK0001030997
ICCM,ICECURE MED LTD SHS NEW(ISR),CIK0001584371
ICL,ICL GROUP LTD,CIK0000941221
IINNW,INSPIRA TECHNOLOGIES OXY B H N,CIK0001837493
INMD,INMODE LTD SHS,CIK0001742692
INCR,INTERCURE LTD COM NEW (ISRAEL),CIK0001857030
IGLDF,INTERNET GOLD-GOLDEN LINES LTD,CIK0001090159
HUBC,HUB CYBER SEC LTD ORD SHS (ISR,CIK0001905660
JFBRW,JEFFS BRANDS LTD WT EXP (ISR) ,CIK0001885408
ITRN,ITURAN LOCATION & CONTROL LTD ,CIK0001337117
FROG,JFROG LTD ORD SHS,CIK0001800667
MDWD,MEDIWOUND LTD ORD SHS NEW,CIK0001593984
MNDY,MONDAY COM LTD SHS IRS,CIK0001845338
NYAX,NAYAX LTD SHS NEW(ISRAEL),CIK0001901279
MNDO,MIND C.T.I. LTD,CIK0001119083
NNOX,NANO-X IMAGING LTD ORD SHS (IS,CIK0001795251
OTMO,OTONOMO TECHNOLOGIES LTD SHS (,CIK0001842498
PRFX,PAINREFORM LTD ORD SHS (ISR),CIK0001801834
RSKD,RISKIFIED LTD ORD SHS CL A (IS,CIK0001851112
SATX,SATIXFY COMMUNICATIONS LTD SHA,CIK0001915403
SMWB,SIMILARWEB LTD SHS (ISR),CIK0001842731
TSEM,TOWER SEMICONDUCTOR LTD ORD SH,CIK0000928876
ZIM,ZIM INTEGRATED SHIPPING SERVIC,CIK0001654126
URGN,UROGEN PHARMA LTD ORD SHS (ISR,CIK0001668243
WKME,WALKME LTD ORD SHS (ISR),CIK0001847584
WIX,WIX.COM LTD ORDINARY SHS,CIK0001576789
AER,AERCAP HOLDINGS NV ORD SHS,CIK0001378789
AFMD,AFFIMED N V ORDINARY SHARES(NL,CIK0001608390
ATAI,ATAI LIFE SCIENCES N V SHS (NL,CIK0001840904
ALLG,ATHENA PUBCO B V ORD SHS,CIK0001874474
CVAC,CUREVAC N V CUREVAC N V IN CON,CIK0001809122
RACE,FERRARI N V NEW COM SHS (NLD) ,CIK0001648416
IMTX,IMMATICS N V ORD SHS (NLD),CIK0001809196
IFRX,INFLARX N V COM (NLD),CIK0001708688
LILM,LILIUM N.V. CORP CL A (NLD),CIK0001855756
LILMW,LILIUM N V,CIK0001855756
LYB,LYONDELLBASELL IND NV ORD SHS ,CIK0001489393
MYNZ,MAINZ BIOMED N V SHS USD (NLD),CIK0001874252
MRUS,MERUS N V COM (NLD),CIK0001651311
NAMS,NEWAMSTERDAM PHARMA CO NV SHS ,CIK0001936258
NXPI,NXP SEMICONDUCTORS N V,CIK0001413447
PLYA,PLAYA HOTELS & RESORTS N V ORD,CIK0001692412
SSU,SIGNA SPORTS UTD BV SHS (NLD) ,CIK0001869858
STLA,STELLANTIS N V SHS,CIK0001605484
QURE,UNIQURE N V ORD SHS (NLD),CIK0001590560
BLX,BANCO LATINOAMERICANO DE COMER,CIK0000890541
IFS,INTERCORP FINL SVCS INC COM,CIK0001615903
IREN,IRIS ENERGY LTD SHS (AUS),CIK0001878848
LCFY,LOCAFY LTD SHS NEW(AUS),CIK0001875547
CENN,CENNTRO ELECTRIC GROUP LIMITED,CIK0001707919
DCFCW,TRITIUM DCFC LTD WT EXP (AUS) ,CIK0001862490
MMYT,MAKEMYTRIP LIMITED ORDINDARY S,CIK0001495153
RCL,ROYAL CARIBBEAN GROUP,CIK0000884887
AFRI,FORAFRIC GLOBAL PLC SHS (GIB) ,CIK0001903870
AFRIW,FORAFRIC GLOBAL PLC WT EXP 06/,CIK0001903870
ASC,ARDMORE SHIPPING CORP COM MARS,CIK0001577437
CPLP,CAPITAL PRODUCT PARTNERS L P P,CIK0001392326
ESEA,EUROSEAS LTD SHS NEW 2019 (MHL,CIK0001341170
GLOP,GASLOG PARTNERS LP UNIT LTD PA,CIK0001598655
GLBS,GLOBUS MARITIME LIMITED COM PA,CIK0001499780
GRIN,GRINDROD SHIPPING HLDGS LTD SH,CIK0001725293
GNS,GENIUS GROUP LTD SHS (SGP),CIK0001847806
IMPP,IMPERIAL PETE INC,CIK0001876581
KNOP,KNOT OFFSHORE PARTNERS LP COM ,CIK0001564180
MAXN,MAXEON SOLAR TECHNOLOGIES PTE ,CIK0001796898
NM,NAVIOS MARITIME HOLDINGS INC C,CIK0001333172
OP,OCEANPAL INC COM NEW(MHL),CIK0001869467
PSHG,PERFORMANCE SHIPPING INC COM P,CIK0001481241
PXSAP,PYXIS TANKERS INC SER A CUM CO,CIK0001640043
PXS,PYXIS TANKERS INC COM,CIK0001640043
SHIP,SEANERGY MARITIME HOLDINGS COR,CIK0001448397
SB,SAFE BULKERS INC COM STK (MH) ,CIK0001434754
SBLK,STAR BULK CARRIERS CORP SH PAR,CIK0001386716
TK,TEEKAY CORPORATION (MARSHALL I,CIK0000911971
TNK,TEEKAY TANKERS LTD SHS A NEW,CIK0001419945
TOPS,TOP SHIPS INC SHS NEW SEPT 202,CIK0001296484
USEA,UNITED MARITIME CORP COM (MHL),CIK0001912847
AAON,AAON INC,CIK0000824142
ABB,ABB LTD ADS ( 1 REG SHS),CIK0001091587
ACNB,ACNB CORP,CIK0000715579
ADMQ,ADM ENDEAVORS INC COM,CIK0001588014
ADMA,ADMA BIOLOGICS INC COM,CIK0001368514
ABSI,ABSCI CORP,CIK0001672688
ACVA,ACV AUCTIONS INC CL A,CIK0001637873
AFL,AFLAC INC,CIK0000004977
AFCG,AFC GAMMA INC COM (MD),CIK0001822523
MITT,AG MTG INVT TR INC COM STK NEW,CIK0001514281
AGNC,AGNC INVT CORP COM,CIK0001423689
AGNCM,AGNC INVT CORP CUM RED PFD SER,CIK0001423689
AGNCO,AGNC INVT CORP DEP SH REP 1/10,CIK0001423689
AESC,AES CORP UNIT,CIK0000874761
AKA,A K A BRANDS HLDG CORP COM (DE,CIK0001865107
AMC,AMC ENTMT HLDGS INC CL A COM S,CIK0001411579
APE,AMC ENTMT HLDGS INC PFD EQUITY,CIK0001411579
HKD,AMTD DIGITAL INC SPONSORED ADS,CIK0001809691
AMRK,"A-MARK PRECIOUS METALS, INC CO",CIK0001591588
ANGI,ANGI INC. CLASS A COMMON STOCK,CIK0001705110
ASXFY,ASX Ltd Unsponsored ADR (Austr,CIK0001449003
ASMVY,ASMPT LIMITED AMERICAN DEPOSIT,CIK0001447945
ATEN,A10 NETWORKS INC COM STK (DE) ,CIK0001580808
ATNI,ATN INTL INC COM,CIK0000879585
ASX,ASE TECHNOLOGY HLDG CO LTD SPO,CIK0001122411
ATIP,ATI PHYSICAL THERAPY INC CL A ,CIK0001815849
ASTS,AST SPACEMOBILE INC CL A (DE) ,CIK0001780312
AZ,A2Z SMART TECHNOLOGI (CANADA) ,CIK0001866030
ABCL,ABCELLERA BIOLOGICS INC. (CAN),CIK0001703057
ANF,ABERCROMBIE & FITCH CO CL-A,CIK0001018840
FAX,ABRDN ASIA-PACIFIC INCOME FUND,CIK0000790500
AEF,ABRDN EMERGING MARKETS EQUITY ,CIK0000846676
IAF,"ABRDN AUSTRALIA EQUITY FUND, I",CIK0000779336
AWP,ABRDN GLOBAL PREMIER PROPERTIE,CIK0001390195
AGD,ABRDN GLOBAL DYNAMIC DIVIDEND ,CIK0001362481
AOD,ABRDN TOTAL DYNAMIC DIVIDEND F,CIK0001379400
ASGI,ABRDN GLOBAL INFRASTRUCTURE IN,CIK0001793855
GLTR,ABRDN PRECIOUS MTLS BSKT ETF T,CIK0001483386
SIVR,ABRDN SILVER ETF TR PHYSICAL S,CIK0001450922
ACAD,ACADIA PHARMACEUTICALS INC,CIK0001070494
AKR,ACADIA REALTY TRUST,CIK0000899629
AXDX,ACCELERATE DIAGNOSTICS INC STK,CIK0000727207
ACST,ACASTI PHARMA INC CL A NO PAR ,CIK0001444192
ACCD,ACCOLADE INC COM,CIK0001481646
ENERR,ACCRETION ACQ.CORP RT (DE),CIK0001855555
ACER,ACER THERAPEUTICS INC. COMMON ,CIK0001069308
ACU,ACME UNITED CORPORATION,CIK0000002098
ACOR,ACORDA THERAPEUTICS INC COM NE,CIK0001008848
ACFN,ACORN ENERGY INC COM STK,CIK0000880984
ASNS,ACTELIS NETWORKS INC COM(DE),CIK0001141284
ABOS,ACUMEN PHARMACEUTICALS INC COM,CIK0001576885
ATY,ACUITYADS HLDGS INC COM (CAN) ,CIK0001861233
AFIB,ACUTUS MED INC,CIK0001522860
IVVD,"INVIVYD, INC. COMMON STOCK",CIK0001832038
ADX,ADAMS DIVERSIFIED EQUITY FUND ,CIK0000002230
ADPT,ADAPTIVE BIOTECHNOLOGIES CORP ,CIK0001478320
AHCO,ADAPTHEALTH CORP,CIK0001725255
ACET,ADICET BIO INC,CIK0001720580
ATGE,ADTALEM GLOBAL ED INC COM (DE),CIK0000730464
ADTH,ADTHEORENT HLDG CO LLC COM,CIK0001838672
ATEYY,ADVANTEST CORPORATION NEW ADS ,CIK0001158838
AVK,ADVENT CONVERTIBLE AND INCOME ,CIK0001219120
ADES,ADVANCED EMISSIONS SOLUTIONS I,CIK0001515156
AMTX,AEMETIS INC NEW COM STK (DE),CIK0000738214
ANYYY,AENA SME S.A. AMERICAN DEPOSIT,CIK0001700171
ADN,"ADVENT TECHNOLOGIES HOLDINGS, ",CIK0001744494
ADV,ADVANTAGE SOLUTIONS INC,CIK0001776661
AVTE,AEROVATE THERAPEUTICS INC COM ,CIK0001798749
AVAV,AEROVIRONMENT INC COM STK,CIK0001368622
LIDR,AEYE INC CL A (DE),CIK0001818644
MGRB,AFFILIATED MANAGERS GROUP INC ,CIK0001004434
AGEN,AGENUS INC COM,CIK0001098972
AGIO,AGIOS PHARMACEUTICALS INC COM ,CIK0001439222
AEM,AGNICO EAGLE MINES LTD,CIK0000002809
AGTI,AGILITI INC COM,CIK0001749704
UAVS,AGEAGLE AERIAL SYS INC NEW COM,CIK0000008504
AIAD,AIADVERTISING INC COM (NV),CIK0000743758
ABNB,AIRBNB INC CLASS A,CIK0001559720
EADSY,AIRBUS SE AMERICAN DEPOSITARY ,CIK0001378580
AIRS,AIRSCULPT TECHNOLOGIES INC COM,CIK0001870940
AKTS,AKOUSTIS TECHNOLOGIES INC,CIK0001584754
KERN,AKERNA CORP COM NEW,CIK0001755953
AKYA,AKOYA BIOSCIENCES INC COM (DE),CIK0001711933
AKU,AKUMIN INC (CANADA),CIK0001776197
ALRM,ALARM COM HLDGS INC COM,CIK0001459200
ALK,ALASKA AIR GROUP INC,CIK0000766421
ALEX,"ALEXANDER & BALDWIN, INC COM",CIK0001545654
ALX,ALEXANDERS INC,CIK0000003499
AGNPF,ALGERNON PHARMACEUTICALS INC C,CIK0001642178
ASTL,ALGOMA STL GROUP INC COM (CAN),CIK0001860805
AQN,ALGONQUIN POWER ORDINARY SHARE,CIK0001174169
AQNU,ALGONQUIN PWR & UTILS CORP,CIK0001174169
BABA,ALIBABA GROUP HLDG LTD SPONSOR,CIK0001577552
ALCO,ALICO INC,CIK0000003545
ALHC,ALIGNMENT HEALTHCARE INC COM,CIK0001832466
WTER,ALKALINE WTR CO INC,CIK0001532390
WTER,ALKALINE WTR CO INC COM PAR $0,CIK0001532390
ALLK,ALLAKOS INC COM (DE),CIK0001564824
ALLR,ALLARITY THERAPEUTICS INC COM ,CIK0001860657
ATI,ATI INC.,CIK0001018963
AFB,ALLIANCEBERNSTEIN NATIONAL MUN,CIK0001162027
AWF,ALLIANCEBERNSTEIN GLOBAL HIGH ,CIK0000906013
AMOT,ALLIED MOTION TECHNOLOGIES INC,CIK0000046129
ALSN,ALLISON TRANSMISSION HLDGS INC,CIK0001411207
ALLO,ALLOGENE THERAPEUTICS INC,CIK0001737287
ALVR,ALLOVIR INC,CIK0001754068
ALL,ALLSTATE CORP (THE),CIK0000899051
ALLY,ALLY FINANCIAL INC COM STK,CIK0000040729
ALNY,ALYNLAM PHARMACEUTICALS INC,CIK0001178670
ALPAW,ALPHA HEALTHCARE ACQUISITION W,CIK0001842939
AMR,ALPHA METALLURGICAL RES INC CO,CIK0001704715
APT,"ALPHA PRO TECH,LTD",CIK0000884269
GOOG,ALPHABET INC CAP STK CL C,CIK0001652044
GOOGL,ALPHABET INC CAP STK CL A,CIK0001652044
TKNO,ALPHA TEKNOVA INC,CIK0001850902
ALPP,"ALPINE 4 HOLDINGS, INC. COMMON",CIK0001606698
ALPN,ALPINE IMMUNE SCIENCES INC,CIK0001626199
REVE,ALPINE ACQUISITION CORP,CIK0001853651
REVEW,ALPINE ACQUISITION CORP WT EXP,CIK0001853651
PINE,ALPINE INCOME PPTY TR INC,CIK0001786117
ACAXR,ALSET CAP ACQUISITION CORP RT ,CIK0001897245
ALSMY,Alstom Unsponsored ADR (France,CIK0001062066
ALTO,ALTO INGREDIENTS INC COM (DE) ,CIK0000778164
