,Symbol,Name,Market,SYMBOL,cik
234,HLT,Hilton Worldwide,S&P500,HLT,CIK0001585689
235,HOLX,Hologic,S&P500,HOLX,CIK0000859737
236,HD,The Home Depot,S&P500,HD,CIK0000354950
237,HON,Honeywell,S&P500,HON,CIK0000773840
238,HRL,Hormel Foods,S&P500,HRL,CIK0000048465
239,HST,Host Hotels & Resorts,S&P500,HST,CIK0001070750
240,HWM,Howmet Aerospace,S&P500,HWM,CIK0000004281
241,HPQ,HP Inc.,S&P500,HPQ,CIK0000047217
242,HUM,Humana,S&P500,HUM,CIK0000049071
243,HBAN,Huntington Bancshares,S&P500,HBAN,CIK0000049196
244,HII,Huntington Ingalls Industries,S&P500,HII,CIK0001501585
245,IBM,IBM,S&P500,IBM,CIK0000051143
246,IEX,IDEX Corporation,S&P500,IEX,CIK0000832101
247,IDXX,Idexx Laboratories,S&P500,IDXX,CIK0000874716
248,ITW,Illinois Tool Works,S&P500,ITW,CIK0000049826
249,ILMN,Illumina,S&P500,ILMN,CIK0001110803
250,INCY,Incyte,S&P500,INCY,CIK0000879169
251,IR,Ingersoll Rand,S&P500,IR,CIK0001699150
252,INTC,Intel,S&P500,INTC,CIK0000050863
253,ICE,Intercontinental Exchange,S&P500,ICE,CIK0001571949
254,IP,International Paper,S&P500,IP,CIK0000051434
255,IPG,The Interpublic Group of Companies,S&P500,IPG,CIK0000051644
256,IFF,International Flavors & Fragrances,S&P500,IFF,CIK0000051253
257,INTU,Intuit,S&P500,INTU,CIK0000896878
258,ISRG,Intuitive Surgical,S&P500,ISRG,CIK0001035267
259,IVZ,Invesco,S&P500,IVZ,CIK0000914208
260,INVH,Invitation Homes,S&P500,INVH,CIK0001687229
261,IQV,IQVIA,S&P500,IQV,CIK0001478242
262,IRM,Iron Mountain,S&P500,IRM,CIK0001020569
263,JBHT,J.B. Hunt,S&P500,JBHT,CIK0000728535
264,JKHY,Jack Henry & Associates,S&P500,JKHY,CIK0000779152
265,J,Jacobs Solutions,S&P500,J,
266,JNJ,Johnson & Johnson,S&P500,JNJ,CIK0000200406
267,JCI,Johnson Controls,S&P500,JCI,CIK0000833444
268,JPM,JP Morgan Chase,S&P500,JPM,CIK0000019617
269,JNPR,Juniper Networks,S&P500,JNPR,CIK0001043604
270,K,Kellogg's,S&P500,K,CIK0000055067
271,KDP,Keurig Dr Pepper,S&P500,KDP,CIK0001418135
272,KEY,KeyCorp,S&P500,KEY,CIK0000091576
273,KEYS,Keysight,S&P500,KEYS,CIK0001601046
274,KMB,Kimberly-Clark,S&P500,KMB,CIK0000055785
275,KIM,Kimco Realty,S&P500,KIM,CIK0000879101
276,KMI,Kinder Morgan,S&P500,KMI,CIK0001506307
277,KLAC,KLA Corporation,S&P500,KLAC,CIK0000319201
278,KHC,Kraft Heinz,S&P500,KHC,CIK0001637459
279,KR,Kroger,S&P500,KR,CIK0000056873
280,LHX,L3Harris,S&P500,LHX,CIK0000202058
281,LH,LabCorp,S&P500,LH,CIK0000920148
282,LRCX,Lam Research,S&P500,LRCX,CIK0000707549
283,LW,Lamb Weston,S&P500,LW,CIK0001679273
284,LVS,Las Vegas Sands,S&P500,LVS,CIK0001300514
285,LDOS,Leidos,S&P500,LDOS,CIK0001336920
286,LEN,Lennar,S&P500,LEN,CIK0000920760
287,LNC,Lincoln Financial,S&P500,LNC,CIK0000059558
288,LIN,Linde plc,S&P500,LIN,CIK0001707925
289,LYV,Live Nation Entertainment,S&P500,LYV,CIK0001335258
290,LKQ,LKQ Corporation,S&P500,LKQ,CIK0001065696
291,LMT,Lockheed Martin,S&P500,LMT,CIK0000936468
292,L,Loews Corporation,S&P500,L,CIK0000060086
293,LOW,Lowe's,S&P500,LOW,CIK0000060667
294,LUMN,Lumen Technologies,S&P500,LUMN,CIK0000018926
295,LYB,LyondellBasell,S&P500,LYB,CIK0001489393
296,MTB,M&T Bank,S&P500,MTB,CIK0000036270
297,MRO,Marathon Oil,S&P500,MRO,CIK0000101778
298,MPC,Marathon Petroleum,S&P500,MPC,CIK0001510295
299,MKTX,MarketAxess,S&P500,MKTX,CIK0001278021
300,MAR,Marriott International,S&P500,MAR,CIK0001048286
301,MMC,Marsh McLennan,S&P500,MMC,CIK0000062709
302,MLM,Martin Marietta Materials,S&P500,MLM,CIK0000916076
303,MAS,Masco,S&P500,MAS,CIK0000062996
304,MA,Mastercard,S&P500,MA,CIK0001141391
305,MTCH,Match Group,S&P500,MTCH,CIK0000891103
306,MKC,McCormick Company,S&P500,MKC,CIK0000063754
307,MCD,McDonald's,S&P500,MCD,CIK0000063908
308,MCK,McKesson,S&P500,MCK,CIK0000927653
309,MDT,Medtronic,S&P500,MDT,CIK0001613103
310,MRK,Merck & Co.,S&P500,MRK,CIK0000310158
311,META,Meta Platforms,S&P500,META,CIK0001326801
312,MET,MetLife,S&P500,MET,CIK0001099219
313,MTD,Mettler Toledo,S&P500,MTD,CIK0001037646
314,MGM,MGM Resorts,S&P500,MGM,CIK0000789570
315,MCHP,Microchip Technology,S&P500,MCHP,CIK0000827054
316,MU,Micron Technology,S&P500,MU,CIK0000723125
317,MSFT,Microsoft,S&P500,MSFT,CIK0000789019
318,MAA,Mid-America Apartment Communities,S&P500,MAA,CIK0000912595
319,MRNA,Moderna,S&P500,MRNA,CIK0001682852
320,MHK,Mohawk Industries,S&P500,MHK,CIK0000851968
321,MOH,Molina Healthcare,S&P500,MOH,CIK0001179929
322,TAP,Molson Coors Beverage Company,S&P500,TAP,CIK0000024545
323,MDLZ,Mondelez International,S&P500,MDLZ,CIK0001103982
324,MPWR,Monolithic Power Systems,S&P500,MPWR,CIK0001280452
325,MNST,Monster Beverage,S&P500,MNST,CIK0000865752
326,MCO,Moody's,S&P500,MCO,CIK0001059556
327,MS,Morgan Stanley,S&P500,MS,CIK0000895421
328,MOS,The Mosaic Company,S&P500,MOS,CIK0001285785
329,MSI,Motorola Solutions,S&P500,MSI,CIK0000068505
330,MSCI,MSCI,S&P500,MSCI,CIK0001408198
331,NDAQ,"Nasdaq, Inc.",S&P500,NDAQ,CIK0001120193
332,NTAP,NetApp,S&P500,NTAP,CIK0001002047
333,NFLX,Netflix,S&P500,NFLX,CIK0001065280
334,NWL,Newell Brands,S&P500,NWL,CIK0000814453
335,NEM,Newmont,S&P500,NEM,CIK0001164727
336,NWSA,News Corp (Class A),S&P500,NWSA,CIK0001564708
337,NWS,News Corp (Class B),S&P500,NWS,CIK0001564708
338,NEE,NextEra Energy,S&P500,NEE,CIK0000753308
339,NKE,"Nike, Inc.",S&P500,NKE,CIK0000320187
340,NI,NiSource,S&P500,NI,CIK0001111711
341,NDSN,Nordson Corporation,S&P500,NDSN,CIK0000072331
342,NSC,Norfolk Southern Railway,S&P500,NSC,CIK0000702165
343,NTRS,Northern Trust,S&P500,NTRS,CIK0000073124
344,NOC,Northrop Grumman,S&P500,NOC,CIK0001133421
345,NCLH,Norwegian Cruise Line Holdings,S&P500,NCLH,CIK0001513761
346,NRG,NRG Energy,S&P500,NRG,CIK0001013871
347,NUE,Nucor,S&P500,NUE,CIK0000073309
348,NVDA,Nvidia,S&P500,NVDA,CIK0001045810
349,NVR,"NVR, Inc.",S&P500,NVR,CIK0000906163
350,NXPI,NXP Semiconductors,S&P500,NXPI,CIK0001413447
351,ORLY,O'Reilly Auto Parts,S&P500,ORLY,CIK0000898173
352,OXY,Occidental Petroleum Corporation,S&P500,OXY,CIK0000797468
353,ODFL,Old Dominion,S&P500,ODFL,CIK0000878927
354,OMC,Omnicom Group,S&P500,OMC,CIK0000029989
355,ON,ON Semiconductor,S&P500,ON,CIK0001097864
356,OKE,ONEOK,S&P500,OKE,CIK0001039684
357,ORCL,Oracle Corporation,S&P500,ORCL,CIK0001341439
358,OGN,Organon & Co.,S&P500,OGN,CIK0001821825
359,OTIS,Otis Elevator Company,S&P500,OTIS,CIK0001781335
360,PCAR,Paccar,S&P500,PCAR,CIK0000075362
361,PKG,Packaging Corporation of America,S&P500,PKG,CIK0000075677
362,PARA,Paramount Global,S&P500,PARA,CIK0000813828
363,PH,Parker Hannifin,S&P500,PH,CIK0000076334
364,PAYX,Paychex,S&P500,PAYX,CIK0000723531
365,PAYC,Paycom,S&P500,PAYC,CIK0001590955
366,PYPL,PayPal,S&P500,PYPL,CIK0001633917
367,PNR,Pentair,S&P500,PNR,CIK0000077360
368,PEP,PepsiCo,S&P500,PEP,CIK0000077476
369,PKI,PerkinElmer,S&P500,PKI,CIK0000031791
370,PFE,Pfizer,S&P500,PFE,CIK0000078003
371,PCG,PG&E Corporation,S&P500,PCG,CIK0001004980
372,PM,Philip Morris International,S&P500,PM,CIK0001413329
373,PSX,Phillips 66,S&P500,PSX,CIK0001534701
374,PNW,Pinnacle West,S&P500,PNW,CIK0000764622
375,PXD,Pioneer Natural Resources,S&P500,PXD,CIK0001038357
376,PNC,PNC Financial Services,S&P500,PNC,CIK0000713676
377,POOL,Pool Corporation,S&P500,POOL,CIK0000945841
378,PPG,PPG Industries,S&P500,PPG,CIK0000079879
379,PPL,PPL Corporation,S&P500,PPL,CIK0000922224
380,PFG,Principal Financial Group,S&P500,PFG,CIK0001126328
381,PG,Procter & Gamble,S&P500,PG,CIK0000080424
382,PGR,Progressive Corporation,S&P500,PGR,CIK0000080661
383,PLD,Prologis,S&P500,PLD,CIK0001045609
384,PRU,Prudential Financial,S&P500,PRU,CIK0001137774
385,PEG,Public Service Enterprise Group,S&P500,PEG,CIK0000788784
386,PTC,PTC,S&P500,PTC,CIK0000857005
387,PSA,Public Storage,S&P500,PSA,CIK0001393311
388,PHM,PulteGroup,S&P500,PHM,CIK0000822416
389,QRVO,Qorvo,S&P500,QRVO,CIK0001604778
390,PWR,Quanta Services,S&P500,PWR,CIK0001050915
391,QCOM,Qualcomm,S&P500,QCOM,CIK0000804328
392,DGX,Quest Diagnostics,S&P500,DGX,CIK0001022079
393,RL,Ralph Lauren Corporation,S&P500,RL,CIK0001037038
394,RJF,Raymond James,S&P500,RJF,CIK0000720005
395,RTX,Raytheon Technologies,S&P500,RTX,CIK0000101829
396,O,Realty Income,S&P500,O,CIK0000726728
397,REG,Regency Centers,S&P500,REG,CIK0000910606
398,REGN,Regeneron,S&P500,REGN,CIK0000872589
399,RF,Regions Financial Corporation,S&P500,RF,CIK0001281761
400,RSG,Republic Services,S&P500,RSG,CIK0001060391
401,RMD,ResMed,S&P500,RMD,
402,RHI,Robert Half,S&P500,RHI,CIK0000315213
403,ROK,Rockwell Automation,S&P500,ROK,CIK0001024478
404,ROL,"Rollins, Inc.",S&P500,ROL,CIK0000084839
405,ROP,Roper Technologies,S&P500,ROP,CIK0000882835
406,ROST,Ross Stores,S&P500,ROST,CIK0000745732
407,RCL,Royal Caribbean Group,S&P500,RCL,CIK0000884887
408,SPGI,S&P Global,S&P500,SPGI,CIK0000064040
409,CRM,Salesforce,S&P500,CRM,CIK0001108524
410,SBAC,SBA Communications,S&P500,SBAC,CIK0001034054
411,SLB,Schlumberger,S&P500,SLB,CIK0000087347
412,STX,Seagate Technology,S&P500,STX,CIK0001137789
413,SEE,Sealed Air,S&P500,SEE,CIK0001012100
414,SRE,Sempra Energy,S&P500,SRE,CIK0001032208
415,NOW,ServiceNow,S&P500,NOW,CIK0001373715
416,SHW,Sherwin-Williams,S&P500,SHW,CIK0000089800
417,SBNY,Signature Bank,S&P500,SBNY,
418,SPG,Simon Property Group,S&P500,SPG,CIK0001063761
419,SWKS,Skyworks Solutions,S&P500,SWKS,CIK0000004127
420,SJM,The J.M. Smucker Company,S&P500,SJM,CIK0000091419
421,SNA,Snap-on,S&P500,SNA,CIK0000091440
422,SEDG,SolarEdge,S&P500,SEDG,CIK0001419612
423,SO,Southern Company,S&P500,SO,CIK0000092122
424,LUV,Southwest Airlines,S&P500,LUV,CIK0000092380
425,SWK,Stanley Black & Decker,S&P500,SWK,CIK0000093556
426,SBUX,Starbucks,S&P500,SBUX,CIK0000829224
427,STT,State Street Corporation,S&P500,STT,CIK0000093751
428,STLD,Steel Dynamics,S&P500,STLD,CIK0001022671
429,STE,Steris,S&P500,STE,CIK0001757898
430,SYK,Stryker Corporation,S&P500,SYK,CIK0000310764
431,SIVB,SVB Financial,S&P500,SIVB,
432,SYF,Synchrony Financial,S&P500,SYF,CIK0001601712
433,SNPS,Synopsys,S&P500,SNPS,CIK0000883241
434,SYY,Sysco,S&P500,SYY,CIK0000096021
435,TMUS,T-Mobile US,S&P500,TMUS,CIK0001283699
436,TROW,T. Rowe Price,S&P500,TROW,CIK0001113169
437,TTWO,Take-Two Interactive,S&P500,TTWO,CIK0000946581
438,TPR,"Tapestry, Inc.",S&P500,TPR,CIK0001116132
439,TRGP,Targa Resources,S&P500,TRGP,CIK0001389170
440,TGT,Target Corporation,S&P500,TGT,CIK0000027419
441,TEL,TE Connectivity,S&P500,TEL,CIK0001385157
442,TDY,Teledyne Technologies,S&P500,TDY,CIK0001094285
443,TFX,Teleflex,S&P500,TFX,CIK0000096943
444,TER,Teradyne,S&P500,TER,CIK0000097210
445,TSLA,"Tesla, Inc.",S&P500,TSLA,CIK0001318605
446,TXN,Texas Instruments,S&P500,TXN,CIK0000097476
447,TXT,Textron,S&P500,TXT,CIK0000217346
448,TMO,Thermo Fisher Scientific,S&P500,TMO,CIK0000097745
449,TJX,TJX Companies,S&P500,TJX,CIK0000109198
450,TSCO,Tractor Supply,S&P500,TSCO,CIK0000916365
451,TT,Trane Technologies,S&P500,TT,CIK0001466258
452,TDG,TransDigm Group,S&P500,TDG,CIK0001260221
453,TRV,The Travelers Companies,S&P500,TRV,CIK0000086312
